,Actividad,Precio,Puntuación,Enlace,Fecha captura
0,Tour gastronómico por Múnich,90.0,4.7,https://www.hellotickets.es/alemania/munich/tour-gastronomico/a/pa-3065,2024-10-20
1,Excursión a Harburgo y a Rotemburgo desde Múnich,150.0,4.5,https://www.hellotickets.es/alemania/munich/excursion-harburgo-rotemburgo/a/pa-3063,2024-10-20
2,Autobús turístico Big Bus de Múnich,48.0,4.9,https://www.hellotickets.es/alemania/munich/autobus-turistico-big-bus/a/pa-8066,2024-10-20
3,Excursión al castillo de Neuschwanstein y al palacio de Linderhof desde Múnich,134.0,4.4,https://www.hellotickets.es/alemania/munich/excursion-castillo-neuschwanstein-palacio-linderhof/a/pa-3056,2024-10-20
4,Autobús turístico de Múnich,50.0,4.5,https://www.hellotickets.es/alemania/munich/autobus-turistico/a/pa-3057,2024-10-20
5,Excursión al campo de concentración de Dachau desde Múnich,86.0,4.6,https://www.hellotickets.es/alemania/munich/excursion-campo-concentracion-dachau/a/pa-3058,2024-10-20
6,Visita guiada privada a la Alte Pinakothek de Múnich,184.0,4.9,https://www.hellotickets.es/alemania/munich/visita-guiada-privada-alte-pinakothek/a/pa-8120,2024-10-20
7,Tarjeta turística Munich CityPASS®,106.0,4.6,https://www.hellotickets.es/alemania/munich/city-pass/a/pa-8119,2024-10-20
8,Entradas para el zoo de Hellabrunn con traslado de ida y vuelta desde Múnich,640.0,4.7,https://www.hellotickets.es/alemania/munich/entradas-zoo-hellabrunn-traslados/a/pa-8118,2024-10-20
9,Reserva con menú para el Hard Rock Cafe de Múnich,40.0,4.6,https://www.hellotickets.es/alemania/munich/reserva-con-menu-hard-rock-cafe/a/pa-8117,2024-10-20
10,Tour del crimen por Múnich,70.0,4.7,https://www.hellotickets.es/alemania/munich/tour-crimen/a/pa-8115,2024-10-20
11,Tour de fantasmas por Múnich,104.0,4.6,https://www.hellotickets.es/alemania/munich/tour-fantasmas/a/pa-8114,2024-10-20
12,Excursión de 1 día a Zugspitze desde Múnich,230.0,4.7,https://www.hellotickets.es/alemania/munich/excursion-zugspitze-1-dia/a/pa-8113,2024-10-20
13,Excursión privada a Zugspitze desde Múnich,1332.0,4.9,https://www.hellotickets.es/alemania/munich/excursion-privada-zugspitze/a/pa-8112,2024-10-20
14,Tour privado por Múnich,102.0,4.6,https://www.hellotickets.es/alemania/munich/tour-privado/a/pa-8111,2024-10-20
15,Tour guiado por el casco antiguo de Múnich,46.0,4.7,https://www.hellotickets.es/alemania/munich/tour-guiado-casco-antiguo/a/pa-8110,2024-10-20
16,Tour del Tercer Reich por Múnich en grupos pequeños,198.0,4.9,https://www.hellotickets.es/alemania/munich/tour-tercer-reich-grupos-pequenos/a/pa-8108,2024-10-20
17,Tour guiado en segway por Múnich,126.0,4.7,https://www.hellotickets.es/alemania/munich/tour-guiado-segway/a/pa-8107,2024-10-20
18,Excursión privada a Salzburgo desde Múnich,1378.0,4.6,https://www.hellotickets.es/alemania/munich/excursion-privada-salzburgo/a/pa-8106,2024-10-20
19,Excursión a Salzburgo desde Múnich en tren,152.0,4.9,https://www.hellotickets.es/alemania/munich/excursion-salzburgo-tren/a/pa-8105,2024-10-20
20,Excursión privada a Núremberg desde Múnich en tren,1174.0,4.6,https://www.hellotickets.es/alemania/munich/excursion-privada-nuremberg-tren/a/pa-8103,2024-10-20
21,Excursión al castillo de Neuschwanstein desde Múnich,148.0,4.7,https://www.hellotickets.es/alemania/munich/excursion-castillo-neuschwanstein/a/pa-8102,2024-10-20
22,Excursión privada al castillo de Neuschwanstein desde Múnich,1222.0,4.9,https://www.hellotickets.es/alemania/munich/excursion-privada-castillo-neuschwanstein/a/pa-8101,2024-10-20
23,Excursión a Rotemburgo y a Harburg desde Múnich,148.0,4.6,https://www.hellotickets.es/alemania/munich/excursion-rotemburgo-harburg/a/pa-8100,2024-10-20
24,"Excursión privada a Harburg, a Dinkelsbühl y a Rotemburgo desde Múnich",874.0,4.7,https://www.hellotickets.es/alemania/munich/excursion-privada-harburg-dinkelsbuhl-rotemburgo/a/pa-8099,2024-10-20
25,Excursión privada al campo de concentración de Dachau desde Múnich,1184.0,4.6,https://www.hellotickets.es/alemania/munich/excursion-privada-campo-concentracion-dachau/a/pa-8098,2024-10-20
26,Excursión al campo de concentración de Dachau desde Múnich en tren,102.0,4.9,https://www.hellotickets.es/alemania/munich/excursion-campo-concentracion-dachau-tren/a/pa-8097,2024-10-20
27,Entradas para un concierto en el Palacio de Nymphenburg en Múnich,84.0,4.7,https://www.hellotickets.es/alemania/munich/entradas-concierto-palacio-nymphenburg/a/pa-8096,2024-10-20
28,Tour gastronómico por Múnich en grupo pequeño,292.0,4.6,https://www.hellotickets.es/alemania/munich/tour-gastronomico-grupo-pequeno/a/pa-8095,2024-10-20
29,Tour de cerveza y comida bávara en Múnich,234.0,4.7,https://www.hellotickets.es/alemania/munich/tour-cerveza-comida-bavara/a/pa-8094,2024-10-20
30,Tour guiado en bicicleta por Múnich,80.0,4.6,https://www.hellotickets.es/alemania/munich/tour-guiado-bicicleta/a/pa-8065,2024-10-20
31,Tour en bicicleta por Múnich en grupo pequeño,88.0,4.7,https://www.hellotickets.es/alemania/munich/tour-bicicleta-grupo-pequeno/a/pa-8064,2024-10-20
32,Excursión a Berchtesgaden y al Nido del Águila desde Múnich,134.0,4.6,https://www.hellotickets.es/alemania/munich/excursion-berchtesgaden-nido-aguila/a/pa-8063,2024-10-20
33,Tour privado por Berchtesgaden,444.0,4.9,https://www.hellotickets.es/alemania/munich/tour-privado-berchtesgaden/a/pa-8062,2024-10-20
34,Excursión a Salzburgo desde Múnich,138.0,4.9,https://www.hellotickets.es/alemania/munich/excursion-salzburgo/a/pa-5368,2024-10-20
35,Entradas para Sea Life Múnich,44.0,4.7,https://www.hellotickets.es/alemania/munich/entradas-sea-life/a/pa-5104,2024-10-20
36,Tour del Tercer Reich por Múnich,60.0,4.7,https://www.hellotickets.es/alemania/munich/tour-tercer-reich/a/pa-3059,2024-10-20
37,Visita guiada al estadio del FC Bayern de Múnich,98.0,4.8,https://www.hellotickets.es/alemania/munich/visita-guiada-estadio-bayern-munich/a/pa-3060,2024-10-20
38,Tour por Múnich con el vigilante nocturno,36.0,4.9,https://www.hellotickets.es/alemania/munich/tour-vigilante-nocturno/a/pa-3061,2024-10-20
39,Tour en bicicleta por Múnich,78.0,4.4,https://www.hellotickets.es/alemania/munich/tour-bicicleta/a/pa-3062,2024-10-20
40,Tour en segway por Múnich,126.0,4.6,https://www.hellotickets.es/alemania/munich/tour-segway/a/pa-3064,2024-10-20
41,Reserva con menú para el Hard Rock Cafe de Múnich,58.0,4.8,https://www.hellotickets.es/alemania/munich/reserva-con-menu-hard-rock-cafe/a/pa-3066,2024-10-20
42,Tour guiado por Múnich,50.0,4.9,https://www.hellotickets.es/alemania/munich/tour-guiado/a/pa-3067,2024-10-20
43,Excursión a Núremberg desde Múnich,152.0,4.5,https://www.hellotickets.es/alemania/munich/excursion-nuremberg/a/pa-3069,2024-10-20
44,Excursión a Berchtesgaden desde Múnich,132.0,4.6,https://www.hellotickets.es/alemania/munich/excursion-berchtesgaden/a/pa-3070,2024-10-20
45,Excursión a Zugspitze desde Múnich,238.0,4.7,https://www.hellotickets.es/alemania/munich/excursion-zugspitze/a/pa-3071,2024-10-20
